01096178999903020103020100000000000000000000000Andahuaylas LC                     Jr. G. Caceres Tresierra                                                        ANDAHUAYLAS                        0000Apurimac                           0030201N000000000000000000000000000000000000000000A2022070100000
01096179999920011420011400000000000000000000000Tambo Grande LC                    Jiron Tumbes                                                                    TAMBO GRANDE                       0000Piura                              0200114N000000000000000000000000000000000000000000A2022070100000
01096186999915020115020100000000000000000000000Barranca EFE                       Jiron Ramon Castilla                                                            BARRANCA                           0000Lima                               0150201N000000000000000000000000000000000000000000A2022070100000
01096187999902180902180900000000000000000000000Chimbote 2 EFE                     Avenida Pacifico F3                                                             NUEVO CHIMBOTE                     0000Ancash                             0021809N000000000000000000000000000000000000000000A2022070100000
01096190999915010115010100000000000000000000000Chosica EFE                        Jiron 28 De Julio                                                               LURIGANCHO                         0000Lima                               0150118N000000000000000000000000000000000000000000A2022070100000
01096192999922100122100100000000000000000000000Tocache LC                         Jiron Freddy Aliaga                                                             TOCACHE                            0000San Martin                         0221001N000000000000000000000000000000000000000000A2022070100000
01096193999910010110010100000000000000000000000Huanuco Motocorp                   Jiron Dos De Mayo                                                               HUANUCO                            0000Huanuco                            0100101N000000000000000000000000000000000000000000A2022070100000
01096197999902010502010500000000000000000000000Huaraz Motocorp                    Mz A A.H. Simon Bolivar                                                         INDEPENDENCIA                      0000Ancash                             0020105N000000000000000000000000000000000000000000A2022070100000
01096199999904010404010400000000000000000000000Arequipa 4 EFE                     Calle Maranon                                                                   CERRO COLORADO                     0000Arequipa                           0040104N000000000000000000000000000000000000000000A2022070100000
01096203999906070106070100000000000000000000000Bambamarca EFE                     Jiron Alfonso Ugarte                                                            BAMBAMARCA                         0000Cajamarca                          0060701N000000000000000000000000000000000000000000A2022070100000
01096207999906020106020100000000000000000000000Cajabamba EFE                      Jr Celso B. Calderon                                                            CAJABAMBA                          0000Cajamarca                          0060201N000000000000000000000000000000000000000000A2022070100000
01096227999924010124010100000000000000000000000Tumbes Mall LC                     Calle San Martin                                                                TUMBES                             0000Tumbes                             0240101N000000000000000000000000000000000000000000A2022070100000
01096241999914010114010100000000000000000000000CHICLAYO MALL LC                   AV. PANAMERICANA NORTE                                                          CHICLAYO                           0000Lambayeque                         0140101N000000000000000000000000000000000000000000A2022070100000
01096249999915010115010100000000000000000000000LC FLAG SHIP PETIT THOUARS         Av. Petit Thouars No 5375                                                       MIRAFLORES                         0000Lima                               0150122N000000000000000000000000000000000000000000A2022070100000
