01073071999908090108090100000000000000000000000Quillabamba                        Jr. Espinar N° 125, 127 Y Parte Del N°133, Lote A                               Santa Ana                          0000Convencion                         0080901N000010206968500000000000000000206968506150A2024071800000
01073072999908090108090800000000000000000000000Santa Teresa                       Av.Calixto Sanchez Mz. D Lt. 16                                                 Santa Teresa                       0000Convencion                         0080908N000010206968500000000000000000206968506502A2024071800000
01073073999912010112011400000000000000000000000Huancayo                           Av. Mariscal Castilla 1596 Urb. El Tambo                                        El Tambo                           0000Huancayo                           0120114N000010206968500000000000000000206968505101A2024071800000
01073074999908110108110100000000000000000000000Paucartambo                        Esq. De La Plaza Coronel Fernández Y La Ca. Ilustrísimo José Péres Almendariz SiPaucartambo                        0000Paucartambo                        0081101N000010206968500000000000000000206968505900A2024071800000
01073075999906020106020100000000000000000000000Cajabamba                          Jr. Bolognesi N° 258                                                            Cajabamba                          0000Cajabamba                          0060201N000010206968500000000000000000206968504302A2024071800000
01073076999906010106010100000000000000000000000Cajamarca                          Jr. Del Comercio N° 536-542-554-560-566-572 Barrio San Pedro                    Cajamarca                          0000Cajamarca                          0060101N000010206968500000000000000000206968504351A2024071800000
01073077999906100106100100000000000000000000000San Marcos                         Centro Poblado San Marcos Mz 35 Lote 27                                         Pedro Galvez                       0000San Marcos                         0061001N000010206968500000000000000000206968506351A2024071800000
01073078999906060106060100000000000000000000000Cutervo                            Av. Salomón Vílchez Murga N° 146                                                Cutervo                            0000Cutervo                            0060601N000010206968500000000000000000206968504902A2024071800000
01073079999906070106070100000000000000000000000Bambamarca                         Jr.Coronel Arquedas N° 513                                                      Bambamarca                         0000Hualgayoc                          0060701N000010206968500000000000000000206968504252A2024071800000
01073081999906040106040100000000000000000000000Chota                              Jr.Mariscal Castilla N°411                                                      Chota                              0000Chota                              0060401N000010206968500000000000000000206968504651A2024071800000
01073082999906030106030100000000000000000000000Celendin                           Jr. Ayacucho N° 665                                                             Celendin                           0000Celendin                           0060301N000010206968500000000000000000206968504503A2024071800000
01073083999913090113090100000000000000000000000Huamachuco                         Jr. Independencia N° 630                                                        Huamachuco                         0000Sanchez Carrion                    0130901N000010206968500000000000000000206968507052A2024071800000
01073084999913010113010200000000000000000000000Trujillo                           Av. Sanchez Carrión N° 703 705                                                  El Porvenir                        0000Trujillo                           0130102N000010206968500000000000000000206968507103A2024071800000
01073085999914010114010500000000000000000000000Chiclayo                           Av. Bolívar N° 350                                                              Jose Leonardo Ortiz                0000Chiclayo                           0140105N000010206968500000000000000000206968507151A2024071800000
01073088999908100108100100000000000000000000000Paruro                             Plaza De Armas Paruro Mz. N Lt. 14                                              Paruro                             0000Paruro                             0081001N000010206968500000000000000000206968507250A2024071800000
01073089999906050106050200000000000000000000000Chilete                            Jr. Ignacio Prado N° 124                                                        Chilete                            0000Contumaza                          0060502N000010206968500000000000000000206968507500A2024071800000
01073090999905010105010100000000000000000000000Ayacucho                           Jr. Garcilaso De La Vega N° 390                                                 Ayacucho                           0000Huamanga                           0050101N000010206968500000000000000000206968506701A2024071800000
01073091999911030111030100000000000000000000000Nazca                              Calle Arica N° 229 - 245                                                        Nazca                              0000Nazca                              0110301N000010206968500000000000000000206968507350A2024071800000
01073093999909010109010100000000000000000000000Huancavelica                       Jr. Virrey Toledo N° 451                                                        Huancavelica                       0000Huancavelica                       0090101N000010206968500000000000000000206968507550A2024071800000
01073094999918030118030100000000000000000000000Ilo                                Asoc. Pro Vivienda “Amauta” Mz. M Lote 10                                       Ilo                                0000Ilo                                0180301N000010206968500000000000000000206968507700A2024071800000
01073096999911010111010100000000000000000000000Ica                                Calle San Martin N° 500                                                         Ica                                0000Ica                                0110101N000010206968500000000000000000206968507600A2024071800000
01073097999905040105040100000000000000000000000Huanta                             Centro Poblado Cercado De Huanta Mz. Z Lote 5                                   Huanta                             0000Huanta                             0050401N000010206968500000000000000000206968507850A2024071800000
01073100999908100108100200000000000000000000000Accha                              Barrio Urinsaya Callle Garcilazos/N                                             Accha                              0000Paruro                             0081002N000010206968500000000000000000206968500000A2024071800000
01073101999908110108110600000000000000000000000Kosñipata                          Avenida Coronel Fernández, Manzana I, Lote N° 6                                 Kosñipata                          0000Paucartambo                        0081106N000010206968500000000000000000206968500000A2024071800000
